,name,price,review
248,'The Wise Old Owl' Hand Carved Showpiece In Wood,788,0
249,'A New Life' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece (Set of 2),1439,0
250,'Heartbeats' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,899,0
251,'Warm Vibes' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,899,0
252,'Family Tales' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece (Set of 2),1439,0
253,'Familyhood Memories' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,1034,0
254,'Love Above All' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,899,0
255,'Pure Love' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,989,0
256,'Expecting Mother' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,899,0
257,'Fairy Dust' Hand-Carved &amp; Hand-Painted Wood Figurine Showpiece,989,0
258,'Floral Cones ' Hand-painted Wall Planter Pots In Ceramic (Set of 2),899,0
259,'Buzzing Blues' Tea Chai Glasses In Stoneware With Iron Holder (Set of 6),1399,0
260,'Refreshing Creams' Studio Pottery Ceramic Pickle &amp; Jam Jar With Spoon,1199,1
261,"'Floral Feels' Hand-painted Bathroom Accessory Set In Ceramic (Liquid Soap Dispenser, Toothbrush Holder, Soap Tray)",1149,0
262,"'Green Leaflets' Hand-painted Bathroom Accessory Set In Ceramic (Liquid Soap Dispenser, Toothbrush Holder)",899,0
263,'Peachy Mood' Tea Chai Glasses In Stoneware With Iron Holder (Set of 4),1199,0
264,"'Morning Sips' Handcrafted Studio Pottery Green Tea Filter Mug (Handcrafted, Studio Pottery, Turquoise Blue &amp; Creamish White)",1025,0
265,"'Cascading Creams' Hand-Glazed Serving Bowls With Tray In Stoneware (Set of 2, 200 ML)",1013,0
266,"'Tea Tales' Handcrafted Studio Pottery Green Tea Filter Mug (Handcrafted, Studio Pottery, Fern Green &amp; Cream)",1025,0
267,"'Morning Musts' Handcrafted Studio Pottery Green Tea Filter Mug (Handcrafted, Studio Pottery, Light Brown &amp; Navy Blue)",999,0
268,'Tangy Blues' Studio Pottery Ceramic Pickle &amp; Jam Jar With Spoon,1199,0
269,'Pickle Perks' Studio Pottery Ceramic Pickle &amp; Jam Jar With Spoon,1199,0
270,'Blooming Blossoms' Hand-painted Wall Planter Pots In Ceramic (Set of 2),799,0
271,"'Bustling Bunnies' Handpainted Garden Decorative Showpieces In Iron (Set of 3, 6 Inch)",1899,0
272,'Elephant Glories' Hand-Painted Table Tea Light Holder In Iron (5 Inch),1049,0
273,"'Rajasthani Musical Trio' Handpainted Decorative Showpieces In Iron (Set of 3, 7 Inch)",1999,0
274,"'Rabbit Rumbles' Handpainted Garden Decorative Showpieces In Iron (Set of 3, 8 Inch)",1925,0
275,"'Rabbit Buddies' Handpainted Garden Decorative Showpieces In Iron (Set of 3, 8 Inch)",1899,0
276,'Flute Player' Handpainted Decorative Showpiece In Iron (12 Inch),1148,0
277,'Ethereal Elephant' Handpainted Decorative Showpiece In Iron (7 Inch),1049,0
278,'Owl Mysteries' Handpainted Decorative Showpiece In Metal (9 Inch),1449,0
279,'Melodious Thaalwala' Handpainted Decorative Showpiece In Iron (12 Inch),1148,0
280,'Sitar Musician' Handpainted Decorative Showpiece In Iron (12 Inch),1275,0
281,'Monkey Mischiefs' Hand-Painted Pen Stand In Metal (9 Inch),1124,0
282,"'Melodious Ganesha Trio' Handpainted Decorative Showpieces In Metal (Set of 3, 12 Inch)",2875,0
